Season,Title,Airdate,Rating,Vote_count,Description
1,Los Simpson asándose sobre un fuego abierto,17 dic. 1989,8.2,5633,"La familia se ve obligada a gastar todos sus ahorros para quitarle a Bart su nuevo tatuaje y, sin dinero para Navidad, Homer debe trabajar como Santa Claus en una tienda."
1,"Bart, el genio",14 ene. 1990,7.7,3580,Bart termina en una escuela para niños superdotados después de hacer trampa en una prueba de coeficiente intelectual.
1,La odisea de Homer,21 ene. 1990,7.4,3145,"Después de perder su trabajo, Homer contempla acabar con todo, hasta que descubre un nuevo rumbo en la vida como defensor de la seguridad."
1,No hay desgracia como el hogar,28 ene. 1990,7.7,3087,"Después de que el resto de la familia lo avergüenza en un picnic de la empresa, Homer se obsesiona con mejorar la forma en que se comportan entre ellos."
1,"Bart, el general",4 feb. 1990,8.0,3130,"Después de que Nelson Muntz lo golpea una vez de más, Bart recurre al Abuelo en busca de ayuda y pronto lidera una rebelión contra el abusón de la escuela."
1,"Lisa, la triste",11 feb. 1990,7.6,3015,"El ánimo de una Lisa deprimida mejora cuando conoce a un músico de jazz, Encías Sangrantes Murphy."
1,La llamada de los Simpson,18 feb. 1990,7.8,2903,"Homer lleva a la familia de campamento, pero pronto todo se convierte en una desventura cuando pierden su equipo y confunden a Homer con Pie Grande."
1,La cabeza delator,25 feb. 1990,7.7,2827,Bart se mete en más problemas de los que esperaba cuando corta la cabeza de una estatua del fundador del pueblo.
1,La vida en el carril rápido,18 mar. 1990,7.5,2809,Marge contempla tener una aventura con un atractivo instructor de bolos.
1,La noche de Homer,25 mar. 1990,7.4,2715,"Después de que una foto de Homer coqueteando con una bailarina exótica se difunde por Springfield, Marge lo echa de la casa."
1,Los crêpes de la ira,15 abr. 1990,7.8,2746,"Bart es enviado a Francia en un programa de intercambio estudiantil, donde lo tratan como a un esclavo; un estudiante albanés ocupa el lugar de Bart en la familia."
1,Krusty es arrestado,29 abr. 1990,8.4,2998,"Homer presencia un robo en el Kwik-E-Mart, cuyo culpable parece ser un hombre vestido como el héroe de Bart, Krusty el Payaso. Pero ¿hay algo más detrás de lo que se ve?"
1,Una noche encantadora,13 may. 1990,7.8,2752,"Homer y Marge disfrutan de una noche fuera, dejando a los niños con una niñera diabólica que guarda un secreto sorprendente."
